train_loss,epoch,step,val_loss_step,avg_val_loss
34488.2578125,0,49,,
649.000732421875,0,99,,
9161.041015625,0,149,,
14.843734741210938,0,199,,
,0,199,17.091888427734375,17.091890335083008
18.8026123046875,1,249,,
27.680452346801758,1,299,,
18.737525939941406,1,349,,
23.433820724487305,1,399,,
,1,399,26.061199188232422,26.061203002929688
10.945002555847168,2,449,,
24.291399002075195,2,499,,
11.013368606567383,2,549,,
